  Argument: Ratio0.1,  Model:base.en

  System       RMSE        AVG Actual       AVG Pre       AVG Match     AVG Whisper  
  L0200       0.2818         0.6617         0.4782         0.4808         0.6430     
  L0201       0.4057         0.7409         0.4616         0.4725         0.6702     
  L0202       0.2568         0.7919         0.6966         0.6477         0.7360      
  L0206       0.2688         0.6605         0.5185         0.5521         0.5929     
  L0208       0.2332         0.7912         0.6238         0.6305         0.6613     
  L0209       0.3366         0.8196         0.5544         0.5744         0.6603       
  L0212       0.3592         0.7132         0.4824         0.4774         0.6967       
  L0215       0.3136         0.6343         0.4694         0.4516         0.6342     
  L0216       0.3773         0.8188         0.5481         0.5592         0.6796     
  L0217       0.2413         0.6385         0.5720         0.6438         0.5813     
  L0218       0.3356         0.6964         0.5057         0.5165         0.6332     
  L0219       0.2268         0.5851         0.5012         0.6409         0.6531     
  L0220       0.3097         0.7202         0.5286         0.5762         0.6303     
  L0221       0.3495         0.8378         0.6287         0.6880         0.6835     
  L0222       0.2812         0.7266         0.5686         0.6111         0.6762     
  L0224       0.3028         0.8128         0.6261         0.6489         0.7355     
  L0225       0.4232         0.7766         0.4962         0.4863         0.6744     
  L0227       0.3105         0.3788         0.3832         0.3412         0.6981     
  L0229       0.2549         0.7122         0.5784         0.5899         0.6608     
  L0231       0.4408         0.7807         0.4739         0.5011         0.6069     
  L0235       0.2041         0.7704         0.6748         0.7048         0.7185     
  L0236       0.3811         0.7888         0.5610         0.5330         0.7620     
  L0239       0.3113         0.5915         0.4356         0.4773         0.6370     
  L0240       0.2175         0.8731         0.7369         0.7242         0.7472     
  L0241       0.3330         0.6366         0.4332         0.4559         0.6097     
  L0242       0.3589         0.7144         0.4734         0.4595         0.7207     
  L0243       0.3386         0.7949         0.5506         0.5868         0.6849      
