Argument: Type: Listener Ratio: 0.5,  Model: medium.en, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       22.69          26.43          -7.46          68.62          59.88          57.17     
 L0201_l       36.11          25.21         -13.85          73.14          55.89          53.37     
 L0202_l       24.27          22.21          -2.66          79.73          75.06          69.23     
 L0206_l       20.75          25.70          -2.20          75.41          67.72          65.49     
 L0208_l       24.90          21.01          -6.00          79.22          68.71          66.67     
 L0209_l       27.70          23.94          -8.59          80.06          64.59          62.30     
 L0212_l       28.91          28.02          -8.12          71.44          60.62          57.00     
 L0215_l       26.35          27.71          -5.99          64.97          58.79          53.56     
 L0216_l       28.83          23.04          -6.19          75.89          62.62          62.11     
 L0217_l       22.82          25.40          -1.89          69.04          69.83          65.72     
 L0218_l       28.13          22.47         -11.93          74.67          60.38          59.45     
 L0219_l       26.39          29.42          -8.26          67.35          60.12          55.47     
 L0220_l       26.03          20.70          -5.76          78.71          65.95          63.92     
 L0221_l       22.77          20.40          -7.17          78.06          65.27          64.13     
 L0222_l       25.05          27.53          -5.40          70.40          66.23          62.07     
 L0224_l       26.52          29.29          -6.94          69.12          61.57          58.27     
 L0225_l       29.12          22.36          -8.90          75.13          62.79          59.43     
 L0227_l       34.50          46.05         -11.00          46.81          51.39          41.01     
 L0229_l       24.88          24.48          -3.93          67.81          66.94          62.12     
 L0231_l       38.93          18.62         -13.92          83.83          59.34          58.26     
 L0235_l       21.93          24.44          -1.27          77.76          74.71          70.81     
 L0236_l       28.65          24.22         -11.31          71.56          59.66          55.40     
 L0239_l       26.35          28.35          -7.95          63.46          57.27          55.01     
 L0240_l       20.93          20.41          -2.35          82.23          71.75          71.26     
 L0241_l       26.79          30.10          -8.12          65.83          55.68          53.14     
 L0242_l       30.83          26.52         -11.51          67.22          51.46          49.60     
 L0243_l       29.31          20.91         -10.99          76.50          61.52          60.69     
