Argument: Type: System Ratio: 0.5,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
  E001_l       51.72          33.04          -9.79          35.14          0.73           24.25     
  E003_l       91.53          21.22          -4.34          90.54          0.98           75.20     
  E005_l       34.05          28.49          -5.74          20.08          0.62           19.43     
  E007_l       84.50          27.65          -6.64          80.28          0.97           67.39     
  E009_l       89.06          18.92          -3.94          87.23          0.98           75.33     
  E010_l       81.40          29.57          -8.38          75.70          0.94           63.89     
  E013_l       88.61          25.88          -2.15          86.12          0.98           77.28     
  E019_l       92.21          16.80          -5.76          91.92          0.97           76.27     
  E021_l       91.65          17.81          -1.66          91.11          1.00           80.45     
  E018_l       71.64          32.74         -14.18          62.12          0.85           45.98     
