Argument: Ratio: 0.1,  Model: medium, Level: l

  System       RMSE        AVG Actual       AVG Pre       AVG Match     AVG Whisper  
  L0200       0.2350         0.5687         0.4836         0.5120         0.6633     
  L0201       0.3055         0.7020         0.5504         0.5782         0.7358     
  L0202       0.2669         0.7793         0.7276         0.6611         0.7840     
  L0206       0.1871         0.6522         0.6166         0.5862         0.7108     
  L0208       0.2789         0.8397         0.6809         0.6759         0.7223     
  L0209       0.2429         0.8420         0.7001         0.7106         0.7935     
  L0212       0.2889         0.8086         0.6534         0.6285         0.7724     
  L0215       0.2515         0.6728         0.6486         0.5825         0.7178     
  L0216       0.2941         0.7931         0.6416         0.6394         0.7692     
  L0217       0.3194         0.6052         0.6766         0.6050         0.6905     
  L0218       0.2530         0.6932         0.5868         0.5994         0.6748     
  L0219       0.3562         0.6671         0.5774         0.5403         0.6958     
  L0220       0.2840         0.7546         0.6210         0.6106         0.6861     
  L0221       0.2488         0.7602         0.6242         0.6337         0.6892     
  L0222       0.1935         0.7520         0.6731         0.6703         0.7621     
  L0224       0.2626         0.7125         0.5853         0.5828         0.7322     
  L0225       0.2854         0.7628         0.6469         0.6144         0.7350     
  L0227       0.3741         0.4395         0.5991         0.4370         0.7928     
  L0229       0.2411         0.6791         0.6054         0.6006         0.7073     
  L0231       0.3084         0.8854         0.7142         0.7060         0.7923     
  L0235       0.2203         0.8072         0.7283         0.7347         0.7819     
  L0236       0.2994         0.7572         0.6295         0.6261         0.7589     
  L0239       0.2704         0.6108         0.5307         0.5116         0.7380     
  L0240       0.3061         0.8170         0.6787         0.6408         0.7306     
  L0241       0.2556         0.6718         0.5758         0.5737         0.7164     
  L0242       0.3953         0.7084         0.4968         0.4502         0.7017     
  L0243       0.2457         0.7090         0.5833         0.5790         0.6965     
