Argument: Type: Listener Ratio: 0.5,  Model: medium.en, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       45.59          23.26          -7.88          72.80          71.99          59.71     
 L0201_l       47.93          24.11         -14.34          74.31          65.64          52.12     
 L0202_l       38.50          23.82          -1.93          77.91          81.35          67.24     
 L0206_l       41.38          26.77          -1.96          76.89          77.14          66.04     
 L0208_l       41.70          21.45          -6.65          79.18          76.16          66.28     
 L0209_l       42.21          21.58          -6.85          80.16          74.94          64.22     
 L0212_l       46.74          27.53          -8.52          72.58          69.39          58.06     
 L0215_l       45.28          27.15          -5.19          66.65          71.80          56.48     
 L0216_l       42.46          21.04          -7.36          78.39          72.58          62.56     
 L0217_l       45.21          23.98          0.20           69.50          78.32          66.82     
 L0218_l       46.16          23.80          -9.98          73.55          71.14          60.43     
 L0219_l       49.21          29.93          -8.56          65.23          68.34          52.81     
 L0220_l       43.97          19.21          -5.07          78.84          75.56          64.50     
 L0221_l       41.98          21.48          -6.83          80.93          76.87          66.65     
 L0222_l       50.39          29.67          -5.71          65.52          72.40          57.79     
 L0224_l       49.47          30.04          -6.50          67.37          71.07          58.24     
 L0225_l       41.93          22.35          -9.58          76.92          73.31          60.58     
 L0227_l       51.14          44.43         -10.14          48.00          62.63          43.19     
 L0229_l       45.93          24.44          -3.82          68.61          75.92          63.03     
 L0231_l       41.44          19.63         -13.08          84.10          70.67          59.06     
 L0235_l       40.21          22.63          0.27           77.69          81.71          71.20     
 L0236_l       45.13          24.29         -11.05          71.61          69.65          54.79     
 L0239_l       47.18          29.49          -8.72          63.94          69.43          55.50     
 L0240_l       34.71          20.07          -1.63          85.44          82.41          73.83     
 L0241_l       48.87          31.27         -10.56          64.33          65.15          50.56     
 L0242_l       47.87          27.08         -11.93          67.48          64.12          49.76     
 L0243_l       47.26          21.14         -11.81          77.09          70.06          58.95     


Fitting function: linear
