Argument: Type: "Listener" Ratio: 0.5,  Model: base.en, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       32.33          29.42          -6.30          69.01          51.65          55.85     
 L0201_l       42.49          27.28         -15.72          72.55          42.86          47.44     
 L0202_l       25.35          23.54          -2.12          79.93          69.58          66.56     
 L0206_l       29.76          27.10          -1.82          73.73          57.87          59.72     
 L0208_l       28.57          24.56          -4.37          82.46          63.43          63.44     
 L0209_l       37.59          26.17         -11.00          80.77          53.71          53.93     
 L0212_l       33.91          26.54         -10.73          72.03          50.95          53.30     
 L0215_l       29.95          25.73          -8.36          65.93          51.82          50.13     
 L0216_l       39.63          26.83         -11.42          78.96          50.95          52.91     
 L0217_l       26.89          26.46          2.26           70.29          63.15          65.19     
 L0218_l       33.77          23.21         -10.46          73.50          51.99          54.04     
 L0219_l       35.70          26.68          -9.52          67.07          49.30          52.76     
 L0220_l       28.83          21.57          -5.29          81.56          63.46          65.00     
 L0221_l       32.52          25.09          -6.67          81.32          61.20          61.08     
 L0222_l       29.27          24.34          -6.02          71.70          55.62          58.43     
 L0224_l       30.58          24.67          -3.02          68.70          50.64          57.90     
 L0225_l       34.68          23.63         -10.39          75.27          52.45          52.80     
 L0227_l       27.65          43.55          -7.92          46.04          44.35          42.38     
 L0229_l       25.40          22.93          -3.58          71.53          61.14          61.10     
 L0231_l       43.27          27.36         -13.61          84.03          53.58          53.19     
 L0235_l       24.45          23.52          -1.52          75.23          66.12          67.30     
 L0236_l       36.88          25.91         -15.36          71.56          48.66          48.28     
 L0239_l       29.74          30.05          -6.95          62.07          49.67          51.26     
 L0240_l       26.72          23.13          -5.33          83.81          66.46          65.99     
 L0241_l       35.67          31.78          -9.00          65.99          44.13          47.43     
 L0242_l       40.60          27.63         -15.06          69.46          42.83          44.91     
 L0243_l       37.89          26.50          -8.33          74.89          49.65          54.95     
