 Listener      RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
 L0200       23.36          22.56          -6.20          75.63          66.82          63.98     
 L0201       34.80          22.60         -15.71          71.33          52.38          56.38     
 L0202       32.18          22.56          -7.01          78.92          69.76          64.78     
 L0206       18.27          23.22          -1.94          73.69          65.91          63.17     
 L0208       27.37          20.98          -3.26          84.12          70.50          70.62     
 L0209       31.61          23.68          -7.48          81.51          63.90          61.72     
 L0212       28.89          24.88          -6.85          74.50          62.83          60.72     
 L0215       25.84          27.38          -4.32          70.83          66.74          62.37     
 L0216       31.21          20.59          -9.78          79.04          63.26          60.79     
 L0217       21.51          23.48          1.82           68.67          70.15          68.91     
 L0218       26.68          21.38         -12.28          69.12          57.42          54.25     
 L0219       35.52          29.67         -10.21          66.03          55.32          50.65     
 L0220       28.34          20.49          -7.64          79.05          65.08          63.06     
 L0221       27.71          19.60          -6.89          81.65          67.09          66.45     
 L0222       25.96          24.54          -4.18          73.24          67.96          67.42     
 L0224       25.58          27.40          -3.57          70.88          60.63          64.00     
 L0225       27.82          26.00          -5.12          75.91          63.46          60.77     
 L0227       35.23          44.08          -4.85          47.23          60.33          49.91     
 L0229       25.09          24.65          -3.44          69.52          65.03          65.83     
 L0231       35.35          24.06          -8.20          84.41          63.06          62.22     
 L0235       24.76          23.87          -3.44          78.38          73.05          70.20     
 L0236       32.22          25.26         -10.41          70.13          58.87          55.62     
 L0239       28.39          27.23          -7.53          63.75          58.54          56.13     
 L0240       19.92          18.87          -4.15          83.58          72.02          70.92     
 L0241       28.94          32.05          -4.79          62.45          54.00          55.24     
 L0242       28.35          23.98          -9.30          69.67          56.99          56.32     
 L0243       28.73          25.48          -6.86          74.66          58.25          61.38     
