Argument: Type: "Listener" Ratio: 0.5,  Model: medium, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       21.58          23.51          -6.30          69.35          59.90          60.57     
 L0201_l       32.63          23.51         -11.83          70.90          54.03          55.06     
 L0202_l       31.18          23.01          -6.75          80.69          71.76          65.89     
 L0206_l       19.84          24.01          -1.98          76.35          68.25          65.93     
 L0208_l       24.73          20.84          -2.68          82.78          70.49          70.09     
 L0209_l       28.53          22.26          -5.82          81.69          66.21          64.77     
 L0212_l       27.10          27.11          -5.94          72.07          60.76          59.62     
 L0215_l       29.03          29.72          -3.29          66.05          62.85          56.97     
 L0216_l       33.66          21.98         -12.18          78.54          61.23          59.18     
 L0217_l       23.36          25.30          2.31           68.05          68.96          67.81     
 L0218_l       23.55          23.71          -8.22          73.25          62.73          61.20     
 L0219_l       28.96          27.86          -6.18          67.10          60.11          57.11     
 L0220_l       30.14          22.78          -7.08          79.13          65.17          63.21     
 L0221_l       24.24          20.73          -4.14          80.81          67.46          67.20     
 L0222_l       27.88          27.07          -6.81          66.66          64.44          60.72     
 L0224_l       27.35          30.01          -4.44          68.09          59.86          61.80     
 L0225_l       30.37          26.20          -6.80          75.20          60.64          58.26     
 L0227_l       34.26          46.71          -6.32          45.34          55.88          45.86     
 L0229_l       24.24          23.51          -6.34          69.00          63.84          61.89     
 L0231_l       36.13          22.64          -9.80          83.96          61.27          61.04     
 L0235_l       24.67          24.41          -1.23          75.78          71.99          70.20     
 L0236_l       32.50          25.80         -11.82          72.38          60.52          56.23     
 L0239_l       25.69          30.06          -6.57          62.49          57.12          56.11     
 L0240_l       24.23          20.71          -4.90          82.69          69.70          69.46     
 L0241_l       28.68          28.88          -7.01          65.77          57.64          55.93     
 L0242_l       31.59          25.63          -9.09          66.43          51.83          51.59     
 L0243_l       29.85          23.14          -8.37          79.92          63.33          65.08     
