Argument: Ratio: 1.0,  Model: medium, Level: l

  System       RMSE        AVG Actual       AVG Pre       AVG Match     AVG Whisper  
 L0200_l      0.2335         0.6949         0.6032         0.5859         0.7384     
 L0201_l      0.3544         0.7276         0.5328         0.5552         0.7124     
 L0202_l      0.3266         0.7904         0.6963         0.6382         0.7834     
 L0206_l      0.1936         0.7527         0.6826         0.6610         0.7306     
 L0208_l      0.2627         0.8201         0.6908         0.6854         0.7410     
 L0209_l      0.2933         0.8074         0.6403         0.6257         0.7448     
 L0212_l      0.2878         0.7265         0.6091         0.5920         0.7462     
 L0215_l      0.2792         0.6613         0.6103         0.5617         0.7253     
 L0216_l      0.3227         0.7841         0.6182         0.6039         0.7466     
 L0217_l      0.2295         0.6866         0.6977         0.6775         0.7180     
 L0218_l      0.2670         0.7392         0.6122         0.5998         0.7271     
 L0219_l      0.3191         0.6646         0.5690         0.5458         0.7254     
 L0220_l      0.2821         0.7980         0.6583         0.6399         0.7362     
 L0221_l      0.2641         0.8037         0.6579         0.6594         0.7259     
 L0222_l      0.2772         0.6864         0.6342         0.6221         0.7369     
 L0224_l      0.2576         0.6909         0.5957         0.6085         0.7390     
 L0225_l      0.2759         0.7560         0.6238         0.6059         0.7157     
 L0227_l      0.3427         0.4526         0.5653         0.4603         0.7560     
 L0229_l      0.2402         0.6891         0.6403         0.6288         0.7229     
 L0231_l      0.3513         0.8401         0.6280         0.6204         0.7433     
 L0235_l      0.2541         0.7738         0.7227         0.7021         0.7749     
 L0236_l      0.3262         0.7195         0.5884         0.5518         0.7682     
 L0239_l      0.2620         0.6263         0.5638         0.5501         0.7104     
 L0240_l      0.2274         0.8359         0.7159         0.7085         0.7713     
 L0241_l      0.2805         0.6522         0.5717         0.5526         0.7195     
 L0242_l      0.3203         0.6842         0.5259         0.5238         0.7031     
 L0243_l      0.3103         0.7811         0.6119         0.6322         0.7400     
