  System       RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
 E001      34.43          34.01         -10.07          37.19          29.50          25.37     
 E003      24.91          21.07          -4.25          90.30          78.72          75.73     
 E005      27.33          28.37          -7.19          20.30          10.40          17.52     
 E007      30.06          27.07          -6.91          80.54          71.98          67.46     
 E009      20.89          17.88          -3.08          88.72          79.39          77.62     
 E010      33.13          28.73          -9.79          76.22          66.73          63.58     
 E013      26.76          25.39          -2.20          86.65          83.86          77.41     
 E019      27.90          17.25          -5.35          91.56          80.91          76.54     
 E021      18.80          18.07          -1.29          91.65          85.26          81.23     
 E018      35.66          32.98         -11.54          62.68          50.63          49.22     
