Argument: Type: "System" Ratio: 0.5,  Model: base.en, Level: l

  System       RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
  E001_l       37.69          33.57          -6.50          36.77          17.77          17.63     
  E003_l       37.32          23.07         -11.88          90.01          65.01          63.35     
  E005_l       26.98          27.79          11.75          19.08          6.29           31.68     
  E007_l       34.75          28.61         -11.97          79.50          59.71          58.83     
  E009_l       32.40          22.12         -10.21          87.44          65.70          65.50     
  E010_l       34.97          30.18         -12.14          76.03          57.48          57.11     
  E013_l       25.58          25.05          -5.10          86.27          76.24          73.66     
  E019_l       24.39          21.29          -1.74          91.73          78.77          75.54     
  E021_l       25.26          21.67          -3.07          91.54          78.23          75.04     
  E018_l       40.17          35.24         -16.87          63.19          38.75          39.84     
