Argument: Ratio: 0.5,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Actual       AVG Pre       AVG Match     AVG Whisper  
  E001_l       32.31          33.37          35.90          27.22          24.62          43.91     
  E003_l       24.70          19.65          91.35          79.12          76.33          85.36     
  E005_l       27.04          29.18          20.90          11.40          19.64          27.26     
  E007_l       28.72          26.77          81.89          71.50          67.69          83.21     
  E009_l       23.21          18.83          87.80          77.39          75.54          83.43     
  E010_l       30.39          27.14          77.17          67.54          64.79          80.47     
  E013_l       24.47          26.08          86.39          81.43          77.30          87.05     
  E019_l       29.02          17.71          92.03          81.11          76.93          86.94     
  E021_l       20.03          17.64          91.71          84.68          80.61          86.76     
  E018_l       38.57          33.61          62.49          45.83          45.50          71.96     
