Argument: Ratio: 0.5,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Actual       AVG Pre       AVG Match     AVG Whisper  
  E001_l       31.61          34.21          36.48          28.42          26.63          44.01     
  E003_l       24.50          21.80          89.45          78.13          74.87          85.32     
  E005_l       27.22          29.37          20.64          10.96          19.85          27.05     
  E007_l       29.01          26.99          80.37          71.34          67.52          83.01     
  E009_l       22.52          18.33          88.07          77.94          75.67          83.43     
  E010_l       30.53          29.64          74.55          65.52          63.66          79.63     
  E013_l       25.08          24.68          87.13          81.66          77.49          87.09     
  E019_l       27.82          17.00          92.20          80.90          77.02          86.83     
  E021_l       20.33          17.90          90.99          84.86          80.58          87.29     
  E018_l       38.31          33.98          64.01          47.71          47.32          73.68     
