  System       RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
  E001       31.99          34.04          -9.87          36.24          27.87          25.00     
  E003       25.27          20.90          -5.07          90.26          77.99          74.91    
  E005       26.87          28.69          -5.97          19.72          11.18          19.74     
  E007       29.55          27.21          -6.68          80.50          70.80          67.16     
  E009       23.44          18.79          -4.41          87.80          77.67          75.37     
  E010       30.90          28.44          -8.42          76.65          66.90          64.53     
  E013       25.26          25.63          -2.40          86.33          81.71          77.10     
  E018       39.38          33.35         -14.75          62.84          45.66          45.20     
  E019       28.19          17.69          -5.20          91.52          80.79          76.56     
  E021       19.97          17.59          -1.89          91.51          84.77          80.67     
