Argument: Ratio: 0.5,  Model: medium, Level: r

  System       RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
  E001_r       34.89          35.18         -12.00          35.01          26.07          22.21     
  E003_r       29.18          21.18          -7.18          90.70          76.23          73.08     
  E005_r       28.34          30.18          -8.42          19.51          10.10          17.25     
  E007_r       32.73          25.51          -8.48          81.50          70.50          66.26     
  E009_r       22.12          18.52          -3.57          87.13          78.08          75.92     
  E010_r       35.26          28.29         -10.30          77.72          66.88          63.34     
  E013_r       31.57          24.88          -5.90          86.84          79.90          73.92     
  E019_r       28.19          18.05          -5.55          91.17          80.09          76.32     
  E021_r       22.48          18.07          -3.27          90.86          82.36          78.63     
  E018_r       39.72          32.18         -14.60          63.51          49.03          46.55     
