 Argument: Ratio0.1,  Model:base.en

  System       RMSE        AVG Actual       AVG Pre       AVG Match     AVG Whisper  

   E001       0.3878         0.3647         0.1578         0.1574         0.2695     
   E003       0.3151         0.9119         0.6928         0.6822         0.8070     
   E005       0.2663         0.1814         0.0832         0.3503         0.2213     
   E007       0.3438         0.7921         0.5869         0.5803         0.7746     
   E009       0.3469         0.9078         0.6828         0.6774         0.8110     
   E010       0.3451         0.7483         0.5618         0.5535         0.7525     
   E013       0.2197         0.8739         0.7793         0.7510         0.8696     
   E019       0.2665         0.9252         0.7785         0.7525         0.8027     
   E021       0.2278         0.8930         0.7898         0.7668         0.8018     
   E018       0.4373         0.6104         0.3584         0.3797         0.6827     
